2016,CA,27,R,81655,250632
2018,CA,27,D,202636,202636
2016,CA,28,D,210883,270409
2016,CA,28,R,59526,270409
2018,CA,28,D,196662,250934
2018,CA,28,R,54272,250934
2016,CA,29,D,171824,171824
2018,CA,29,D,124697,154692
2018,CA,29,R,29995,154692
2016,CA,30,D,205279,282604
2016,CA,30,R,77325,282604
2018,CA,30,D,191573,260993
2018,CA,30,R,69420,260993
2016,CA,31,D,121070,215936
2016,CA,31,R,94866,215936
2018,CA,31,D,110143,187495
2018,CA,31,R,77352,187495
2016,CA,32,D,186646,186646
2018,CA,32,D,121759,177031
2018,CA,32,R,55272,177031
2016,CA,33,D,219397,330219
2016,CA,33,R,110822,330219
2018,CA,33,D,219091,312860
2018,CA,33,R,93769,312860
2016,CA,34,D,159156,159156
2018,CA,34,D,110195,151906
2016,CA,35,D,124044,171353
2016,CA,35,R,47309,171353
2018,CA,35,D,103420,149024
2018,CA,35,R,45604,149024
2016,CA,36,D,144348,232617
2016,CA,36,R,88269,232617
2018,CA,36,D,122169,207008
2018,CA,36,R,84839,207008
2016,CA,37,D,237272,237272
2018,CA,37,D,210555,236378
2018,CA,37,R,25823,236378
2016,CA,38,D,163590,232114
2016,CA,38,R,68524,232114
2018,CA,38,D,139188,202156
2018,CA,38,R,62968,202156
2016,CA,39,R,150777,263456
2016,CA,39,D,112679,263456
2018,CA,39,D,126002,244393
2018,CA,39,R,118391,244393
2016,CA,40,D,106554,131297
2018,CA,40,D,93938,121449
2016,CA,41,D,128164,197323
2016,CA,41,R,69159,197323
2018,CA,41,D,108227,166248
2018,CA,41,R,58021,166248
2016,CA,42,R,149547,254236
2016,CA,42,D,104689,254236
2018,CA,42,R,131040,231932
2018,CA,42,D,100892,231932
2016,CA,43,D,167017,219516
2016,CA,43,R,52499,219516
2018,CA,43,D,152272,196052
2018,CA,43,R,43780,196052
2016,CA,44,D,178413,178413
2018,CA,44,D,143322,143322
2016,CA,45,R,182618,311849
2016,CA,45,D,129231,311849
2018,CA,45,D,158906,305289
2018,CA,45,R,146383,305289
2016,CA,46,D,164593,164593
2018,CA,46,D,102278,147916
2018,CA,46,R,45638,147916
2016,CA,47,D,154759,242868
2016,CA,47,R,88109,242868
2018,CA,47,D,143354,221036
2018,CA,47,R,77682,221036
2016,CA,48,R,178701,306416
2016,CA,48,D,127715,306416
2018,CA,48,D,157837,294736
2018,CA,48,R,136899,294736
2016,CA,49,R,155888,310155
2016,CA,49,D,154267,310155
2018,CA,49,D,166453,295030
2018,CA,49,R,128577,295030
2016,CA,50,R,179937,283583
2016,CA,50,D,103646,283583
2018,CA,50,R,134362,259810
